Kingdom,Phylum,Class,Order,Family,Genus,Species,parsed_metaphlan_R1000,parsed_metaphlan_R150,parsed_metaphlan_R300,parsed_metaphlan_R75
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,mitis,26.20312,19.66129,0,19.13777
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum,20.04715,12.67688,15.11969,12.85134
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,denticola,8.3325,5.90539,7.08549,6.7379
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,reuteri,7.76479,5.15122,5.96321,5.60087
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,lactamica,6.65706,7.2115,9.13254,9.63615
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,epidermidis,6.19996,4.75783,4.80024,5.07467
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,oralis,5.16664,5.77506,7.44572,6.32084
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,anthracis,3.67187,3.12617,3.20946,3.79617
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,gonorrhoeae,2.76018,4.6056,3.53939,5.21977
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,salivarius,2.66268,1.75082,1.92093,2.44332
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,agalactiae,2.44482,1.97717,2.38499,2.35986
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,limosum,1.93802,2.80089,2.56399,3.23852
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,pallidum,1.71015,1.22564,1.20216,1.54425
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,sanguinis,1.50498,3.67119,3.28699,3.4827
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,baumannii,1.34522,1.54297,1.59635,1.64876
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,meningitidis,0.66217,1.7063,1.34524,1.70422
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,diphtheriae,0.4252,0.91874,0.86695,1.04017
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,urealyticum,0.19193,1.05826,1.06595,0.9956
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,gingivalis,0.18616,0.9277,0.86811,1.11007
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,sakazakii,0.12539,1.72999,1.49749,2.10281
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,brevis,0,8.42428,5.68643,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,acidophilus,0,0.88148,0.4553,0.61525
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,acnes,0,0.54748,0.56604,0.64493
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae,0,0.5062,0.01282,0.49297
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pyogenes,0,0.35081,0.29932,0.4929
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,anginosus,0,0.34835,0,0.38157
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa,0,0.24837,0,0.36048
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,0,0.23411,0.20223,0.41145
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,pestis,0,0.19932,0.23344,0.37775
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,parasanguinis,0,0.07899,0,0.13761
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,animalis,0,0,0,0.03932
